Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Sewing machine - Model 104,Sewing machine,122,6,0.0%,55.6%,9.8%,34.6%,3,1,2
Sewing machine - Model 105,Sewing machine,122,50,0.0%,56.5%,28.4%,15.2%,28,14,8
Sewing machine - Model 106,Sewing machine,122,34,0.0%,57.2%,26.9%,15.8%,19,9,6
Sewing machine - Model 107,Sewing machine,122,26,0.0%,64.2%,11.2%,24.6%,17,3,6
Sewing machine - Model 108,Sewing machine,122,152,0.1%,54.2%,7.1%,38.7%,82,11,59
Sewing machine - Model 109,Sewing machine,122,37,0.0%,53.3%,21.9%,24.7%,20,8,9
Sewing machine - Model 110,Sewing machine,122,12,0.0%,42.9%,10.1%,47.0%,5,1,6
Sewing machine - Model 111,Sewing machine,122,30,0.0%,55.3%,29.6%,15.2%,17,9,4
Sewing machine - Model 112,Sewing machine,122,125,0.0%,71.4%,23.3%,5.3%,89,29,7
Sewing machine - Model 113,Sewing machine,122,10,0.0%,44.6%,24.5%,30.8%,4,2,4
Sewing machine - Model 114,Sewing machine,122,12,0.0%,71.4%,20.0%,8.6%,9,2,1
Sewing machine - Model 115,Sewing machine,122,1,0.0%,79.6%,13.1%,7.3%,1,0,0
Sewing machine - Model 116,Sewing machine,122,1,0.0%,74.9%,25.1%,0.0%,1,0,0
Sewing machine - Model 117,Sewing machine,122,88,0.0%,40.5%,16.3%,43.3%,36,14,38
Sewing machine - Model 118,Sewing machine,122,65,0.0%,79.1%,7.6%,13.3%,51,5,9
Sewing machine - Model 119,Sewing machine,122,22,0.0%,61.9%,29.5%,8.6%,14,6,2
Sewing machine - Model 120,Sewing machine,122,59,0.0%,62.2%,9.7%,28.0%,37,6,16
Sewing machine - Model 121,Sewing machine,122,25,0.0%,63.3%,10.1%,26.6%,16,3,6
Sewing machine - Model 122,Sewing machine,122,152,0.1%,60.8%,6.9%,32.4%,92,10,50
Tablet - Model 1,Tablet,211,32,0.0%,56.8%,5.5%,37.8%,18,2,12
Tablet - Model 2,Tablet,211,15,0.0%,71.7%,6.7%,21.6%,11,1,3
Tablet - Model 3,Tablet,211,17,0.0%,59.0%,19.0%,22.0%,10,3,4
Tablet - Model 4,Tablet,211,52,0.0%,65.1%,22.2%,12.6%,34,12,6
Tablet - Model 5,Tablet,211,169,0.1%,50.1%,5.2%,44.6%,85,9,75
Tablet - Model 6,Tablet,211,45,0.0%,68.9%,18.4%,12.7%,31,8,6
Tablet - Model 7,Tablet,211,4,0.0%,73.4%,25.5%,1.0%,3,1,0
Tablet - Model 8,Tablet,211,4,0.0%,73.7%,17.1%,9.1%,3,1,0
Tablet - Model 9,Tablet,211,148,0.1%,53.3%,24.8%,21.9%,79,37,32
Tablet - Model 10,Tablet,211,17,0.0%,58.1%,9.6%,32.4%,10,2,5
Tablet - Model 11,Tablet,211,5,0.0%,73.6%,26.4%,0.0%,4,1,0
Tablet - Model 12,Tablet,211,45,0.0%,58.7%,6.9%,34.5%,26,3,16
Tablet - Model 13,Tablet,211,48,0.0%,55.5%,25.1%,19.4%,27,12,9
Tablet - Model 14,Tablet,211,51,0.0%,76.1%,10.1%,13.8%,39,5,7
Tablet - Model 15,Tablet,211,15,0.0%,42.7%,26.9%,30.4%,6,4,5
Tablet - Model 16,Tablet,211,1,0.0%,55.6%,18.5%,25.9%,1,0,0
Tablet - Model 17,Tablet,211,164,0.1%,78.7%,6.7%,14.6%,129,11,24
Tablet - Model 18,Tablet,211,14,0.0%,65.9%,6.9%,27.2%,9,1,4
Tablet - Model 19,Tablet,211,55,0.0%,55.0%,25.1%,19.9%,30,14,11
Tablet - Model 20,Tablet,211,60,0.0%,57.3%,29.9%,12.7%,34,18,8
Tablet - Model 21,Tablet,211,46,0.0%,62.4%,13.0%,24.6%,29,6,11
Tablet - Model 22,Tablet,211,18,0.0%,48.8%,13.8%,37.4%,9,2,7
Tablet - Model 23,Tablet,211,15,0.0%,54.9%,6.7%,38.4%,8,1,6
Tablet - Model 24,Tablet,211,45,0.0%,54.8%,16.6%,28.6%,25,7,13
Tablet - Model 25,Tablet,211,98,0.0%,68.9%,21.4%,9.7%,68,21,9
Tablet - Model 26,Tablet,211,143,0.1%,68.4%,5.2%,26.4%,98,7,38
Tablet - Model 27,Tablet,211,5,0.0%,48.7%,21.5%,29.8%,2,1,2
Tablet - Model 28,Tablet,211,8,0.0%,59.4%,5.1%,35.5%,5,0,3
Tablet - Model 29,Tablet,211,142,0.1%,72.2%,24.3%,3.5%,102,35,5
Tablet - Model 30,Tablet,211,65,0.0%,61.9%,6.7%,31.4%,40,4,21
Tablet - Model 31,Tablet,211,105,0.0%,70.7%,19.6%,9.7%,74,21,10
Tablet - Model 32,Tablet,211,11,0.0%,71.3%,23.8%,4.9%,8,3,0
Tablet - Model 33,Tablet,211,43,0.0%,72.1%,18.0%,9.9%,31,8,4
Tablet - Model 34,Tablet,211,59,0.0%,45.6%,21.8%,32.6%,27,13,19
Tablet - Model 35,Tablet,211,56,0.0%,64.8%,23.6%,11.6%,36,13,7
Tablet - Model 36,Tablet,211,26,0.0%,46.8%,9.9%,43.3%,12,3,11
Tablet - Model 37,Tablet,211,1,0.0%,75.6%,23.7%,0.6%,1,0,0
Tablet - Model 38,Tablet,211,43,0.0%,76.2%,23.8%,0.0%,33,10,0
Tablet - Model 39,Tablet,211,14,0.0%,63.9%,21.4%,14.8%,9,3,2
Tablet - Model 40,Tablet,211,29,0.0%,75.6%,19.5%,5.0%,22,6,1
Tablet - Model 41,Tablet,211,155,0.1%,65.3%,8.9%,25.8%,101,14,40
Tablet - Model 42,Tablet,211,25,0.0%,59.0%,22.9%,18.1%,15,6,4
Tablet - Model 43,Tablet,211,90,0.0%,50.8%,10.1%,39.1%,46,9,35
Tablet - Model 44,Tablet,211,10,0.0%,52.6%,11.0%,36.4%,5,1,4
Tablet - Model 45,Tablet,211,55,0.0%,48.6%,15.6%,35.8%,27,9,19
Tablet - Model 46,Tablet,211,185,0.1%,76.3%,17.7%,6.0%,141,33,11
Tablet - Model 47,Tablet,211,5,0.0%,47.5%,6.9%,45.6%,2,0,3
Tablet - Model 48,Tablet,211,0,0.0%,67.8%,14.6%,17.6%,0,0,0
Tablet - Model 49,Tablet,211,28,0.0%,72.9%,21.5%,5.6%,20,6,2
Tablet - Model 50,Tablet,211,5,0.0%,71.8%,11.8%,16.4%,4,1,0
Tablet - Model 51,Tablet,211,68,0.0%,67.7%,11.6%,20.7%,46,8,14
Tablet - Model 52,Tablet,211,120,0.0%,77.6%,20.9%,1.5%,93,25,2
Tablet - Model 53,Tablet,211,28,0.0%,53.0%,11.7%,35.3%,15,3,10
Tablet - Model 54,Tablet,211,15,0.0%,47.6%,22.4%,30.0%,7,3,5
Tablet - Model 55,Tablet,211,28,0.0%,48.7%,19.9%,31.4%,14,6,8
Tablet - Model 56,Tablet,211,63,0.0%,50.6%,21.5%,27.9%,32,14,17
Tablet - Model 57,Tablet,211,0,0.0%,72.6%,24.5%,3.0%,0,0,0
Tablet - Model 58,Tablet,211,44,0.0%,70.4%,9.7%,19.9%,31,4,9
Tablet - Model 59,Tablet,211,46,0.0%,43.5%,22.5%,34.0%,20,10,16
Tablet - Model 60,Tablet,211,50,0.0%,54.7%,15.8%,29.5%,27,8,15
Tablet - Model 61,Tablet,211,14,0.0%,41.2%,11.5%,47.3%,6,2,6
Tablet - Model 62,Tablet,211,61,0.0%,41.3%,27.0%,31.7%,25,16,20
Tablet - Model 63,Tablet,211,5,0.0%,49.7%,18.9%,31.3%,2,1,2
Tablet - Model 64,Tablet,211,11,0.0%,41.6%,21.7%,36.8%,5,2,4
Tablet - Model 65,Tablet,211,103,0.0%,52.9%,27.4%,19.6%,55,28,20
Tablet - Model 66,Tablet,211,66,0.0%,75.5%,13.1%,11.3%,50,9,7
Tablet - Model 67,Tablet,211,1,0.0%,73.1%,26.9%,0.0%,1,0,0
Tablet - Model 68,Tablet,211,14,0.0%,73.0%,26.1%,0.9%,10,4,0
Tablet - Model 69,Tablet,211,12,0.0%,50.0%,19.4%,30.6%,6,2,4
Tablet - Model 70,Tablet,211,15,0.0%,42.7%,7.4%,49.9%,6,1,8
Tablet - Model 71,Tablet,211,14,0.0%,80.0%,13.2%,6.9%,11,2,1
Tablet - Model 72,Tablet,211,3,0.0%,69.9%,25.2%,4.9%,2,1,0
Tablet - Model 73,Tablet,211,30,0.0%,72.2%,27.8%,0.0%,22,8,0
Tablet - Model 74,Tablet,211,65,0.0%,49.7%,6.0%,44.3%,32,4,29
Tablet - Model 75,Tablet,211,46,0.0%,56.4%,8.3%,35.3%,26,4,16
Tablet - Model 76,Tablet,211,55,0.0%,40.9%,14.0%,45.1%,22,8,25
Tablet - Model 77,Tablet,211,4,0.0%,71.3%,19.2%,9.5%,3,1,0
Tablet - Model 78,Tablet,211,148,0.1%,52.5%,21.4%,26.1%,78,32,38
Tablet - Model 79,Tablet,211,89,0.0%,49.3%,5.4%,45.4%,44,5,40
Tablet - Model 80,Tablet,211,80,0.0%,70.6%,20.6%,8.8%,56,16,8
Tablet - Model 81,Tablet,211,85,0.0%,70.5%,6.0%,23.5%,60,5,20
Tablet - Model 82,Tablet,211,132,0.0%,73.5%,20.5%,6.0%,97,27,8
Tablet - Model 83,Tablet,211,38,0.0%,62.5%,20.6%,16.8%,24,8,6
Tablet - Model 84,Tablet,211,11,0.0%,74.6%,19.7%,5.7%,8,2,1
Tablet - Model 85,Tablet,211,47,0.0%,63.2%,29.8%,7.0%,30,14,3
Tablet - Model 86,Tablet,211,66,0.0%,70.3%,16.1%,13.7%,46,11,9
Tablet - Model 87,Tablet,211,66,0.0%,68.3%,14.7%,17.0%,45,10,11
Tablet - Model 88,Tablet,211,36,0.0%,49.2%,19.9%,30.9%,18,7,11
Tablet - Model 89,Tablet,211,3,0.0%,74.4%,25.6%,0.0%,2,1,0
Tablet - Model 90,Tablet,211,23,0.0%,53.7%,18.2%,28.1%,12,4,7
Tablet - Model 91,Tablet,211,124,0.0%,48.5%,29.9%,21.6%,60,37,27
Tablet - Model 92,Tablet,211,43,0.0%,79.0%,21.0%,0.0%,34,9,0
Tablet - Model 93,Tablet,211,38,0.0%,72.2%,22.9%,4.9%,27,9,2
Tablet - Model 94,Tablet,211,15,0.0%,63.7%,6.3%,29.9%,10,1,4
Tablet - Model 95,Tablet,211,22,0.0%,58.2%,21.9%,19.9%,13,5,4
Tablet - Model 96,Tablet,211,110,0.0%,67.1%,14.3%,18.6%,74,16,20
Tablet - Model 97,Tablet,211,54,0.0%,77.7%,9.2%,13.1%,42,5,7
Tablet - Model 98,Tablet,211,76,0.0%,60.0%,22.3%,17.7%,46,17,13
Tablet - Model 99,Tablet,211,30,0.0%,67.9%,21.2%,10.9%,20,6,4
Tablet - Model 100,Tablet,211,49,0.0%,51.0%,8.9%,40.1%,25,4,20
Tablet - Model 101,Tablet,211,14,0.0%,65.4%,20.0%,14.6%,9,3,2
Tablet - Model 102,Tablet,211,60,0.0%,47.2%,22.6%,30.2%,28,14,18
Tablet - Model 103,Tablet,211,27,0.0%,58.2%,21.7%,20.1%,16,6,5
Tablet - Model 104,Tablet,211,29,0.0%,73.5%,9.2%,17.3%,21,3,5
Tablet - Model 105,Tablet,211,51,0.0%,40.8%,24.5%,34.8%,21,12,18
Tablet - Model 106,Tablet,211,135,0.0%,64.4%,22.5%,13.1%,87,30,18
Tablet - Model 107,Tablet,211,3,0.0%,73.5%,25.1%,1.4%,2,1,0
Tablet - Model 108,Tablet,211,85,0.0%,78.4%,18.4%,3.2%,67,16,2
Tablet - Model 109,Tablet,211,17,0.0%,59.5%,15.0%,25.4%,10,3,4
Tablet - Model 110,Tablet,211,29,0.0%,46.1%,19.3%,34.5%,13,6,10
Tablet - Model 111,Tablet,211,1,0.0%,51.1%,28.0%,20.9%,1,0,0
Tablet - Model 112,Tablet,211,18,0.0%,63.3%,19.8%,16.9%,11,4,3
Tablet - Model 113,Tablet,211,34,0.0%,54.2%,6.3%,39.5%,18,2,14
Tablet - Model 114,Tablet,211,3,0.0%,41.3%,15.6%,43.1%,1,0,2
Tablet - Model 115,Tablet,211,33,0.0%,43.4%,20.2%,36.4%,14,7,12
Tablet - Model 116,Tablet,211,128,0.0%,74.1%,25.9%,0.0%,95,33,0
Tablet - Model 117,Tablet,211,5,0.0%,66.4%,10.3%,23.4%,3,1,1
Tablet - Model 118,Tablet,211,71,0.0%,73.7%,26.3%,0.0%,52,19,0
Tablet - Model 119,Tablet,211,26,0.0%,47.9%,23.4%,28.7%,12,6,8
Tablet - Model 120,Tablet,211,52,0.0%,51.5%,25.1%,23.5%,27,13,12
Tablet - Model 121,Tablet,211,15,0.0%,79.9%,5.8%,14.4%,12,1,2
Tablet - Model 122,Tablet,211,8,0.0%,75.9%,20.6%,3.5%,6,2,0
Tablet - Model 123,Tablet,211,9,0.0%,78.9%,16.6%,4.4%,7,1,1
Tablet - Model 124,Tablet,211,4,0.0%,73.9%,6.6%,19.5%,3,0,1
Tablet - Model 125,Tablet,211,10,0.0%,53.4%,6.7%,39.9%,5,1,4
Tablet - Model 126,Tablet,211,53,0.0%,76.8%,23.2%,0.0%,41,12,0
Tablet - Model 127,Tablet,211,104,0.0%,72.8%,27.2%,0.0%,76,28,0
Tablet - Model 128,Tablet,211,82,0.0%,43.4%,14.6%,42.0%,36,12,34
Tablet - Model 129,Tablet,211,57,0.0%,42.8%,10.3%,46.9%,24,6,27
Tablet - Model 130,Tablet,211,6,0.0%,49.2%,16.7%,34.1%,3,1,2
Tablet - Model 131,Tablet,211,17,0.0%,50.7%,7.5%,41.7%,9,1,7
Tablet - Model 132,Tablet,211,18,0.0%,46.7%,8.7%,44.6%,8,2,8
Tablet - Model 133,Tablet,211,14,0.0%,77.5%,22.5%,0.0%,11,3,0
Tablet - Model 134,Tablet,211,35,0.0%,78.7%,16.0%,5.3%,28,6,1
Tablet - Model 135,Tablet,211,38,0.0%,51.1%,25.0%,23.9%,19,9,10
Tablet - Model 136,Tablet,211,22,0.0%,53.1%,12.5%,34.5%,12,3,7
Tablet - Model 137,Tablet,211,21,0.0%,49.3%,8.2%,42.5%,10,2,9
Tablet - Model 138,Tablet,211,86,0.0%,50.3%,13.9%,35.9%,43,12,31
Tablet - Model 139,Tablet,211,76,0.0%,67.0%,6.6%,26.5%,51,5,20
Tablet - Model 140,Tablet,211,18,0.0%,48.4%,25.2%,26.4%,9,5,4
Tablet - Model 141,Tablet,211,120,0.0%,45.9%,13.6%,40.6%,55,16,49
Tablet - Model 142,Tablet,211,149,0.1%,74.6%,8.9%,16.5%,111,13,25
Tablet - Model 143,Tablet,211,19,0.0%,43.3%,17.1%,39.6%,8,3,8
Tablet - Model 144,Tablet,211,21,0.0%,52.1%,19.1%,28.8%,11,4,6
Tablet - Model 145,Tablet,211,34,0.0%,72.2%,8.4%,19.4%,25,3,6
Tablet - Model 146,Tablet,211,139,0.1%,63.2%,17.6%,19.1%,88,25,26
Tablet - Model 147,Tablet,211,102,0.0%,45.8%,20.6%,33.6%,47,21,34
Tablet - Model 148,Tablet,211,5,0.0%,50.9%,17.2%,31.9%,3,1,1
Tablet - Model 149,Tablet,211,24,0.0%,43.3%,16.5%,40.2%,10,4,10
Tablet - Model 150,Tablet,211,39,0.0%,52.3%,25.6%,22.2%,20,10,9
Tablet - Model 151,Tablet,211,34,0.0%,42.3%,15.5%,42.3%,14,5,15
Tablet - Model 152,Tablet,211,11,0.0%,58.3%,23.1%,18.5%,6,3,2
Tablet - Model 153,Tablet,211,96,0.0%,63.0%,21.7%,15.3%,60,21,15
Tablet - Model 154,Tablet,211,55,0.0%,71.1%,26.6%,2.4%,39,15,1
Tablet - Model 155,Tablet,211,89,0.0%,52.6%,18.5%,29.0%,47,16,26
Tablet - Model 156,Tablet,211,96,0.0%,71.9%,28.1%,0.0%,69,27,0
Tablet - Model 157,Tablet,211,67,0.0%,75.6%,14.3%,10.1%,51,10,6
Tablet - Model 158,Tablet,211,28,0.0%,47.8%,17.2%,35.0%,13,5,10
Tablet - Model 159,Tablet,211,46,0.0%,69.7%,17.3%,13.0%,32,8,6
Tablet - Model 160,Tablet,211,9,0.0%,59.3%,26.0%,14.7%,5,2,2
Tablet - Model 161,Tablet,211,55,0.0%,54.5%,26.5%,19.0%,30,15,10
Tablet - Model 162,Tablet,211,10,0.0%,56.3%,13.2%,30.5%,6,1,3
Tablet - Model 163,Tablet,211,58,0.0%,58.2%,24.1%,17.8%,34,14,10
Tablet - Model 164,Tablet,211,13,0.0%,45.0%,9.9%,45.0%,6,1,6
Tablet - Model 165,Tablet,211,6,0.0%,78.1%,9.4%,12.6%,5,1,0
Tablet - Model 166,Tablet,211,9,0.0%,62.7%,19.5%,17.8%,6,2,1
Tablet - Model 167,Tablet,211,0,0.0%,59.6%,21.1%,19.3%,0,0,0
Tablet - Model 168,Tablet,211,62,0.0%,49.2%,18.8%,32.0%,30,12,20
Tablet - Model 169,Tablet,211,64,0.0%,54.9%,21.5%,23.6%,35,14,15
Tablet - Model 170,Tablet,211,35,0.0%,45.6%,19.3%,35.1%,16,7,12
Tablet - Model 171,Tablet,211,9,0.0%,47.4%,12.0%,40.6%,4,1,4
Tablet - Model 172,Tablet,211,4,0.0%,48.7%,9.6%,41.7%,2,0,2
Tablet - Model 173,Tablet,211,1,0.0%,73.0%,12.1%,14.8%,1,0,0
Tablet - Model 174,Tablet,211,9,0.0%,73.9%,26.1%,0.0%,7,2,0
Tablet - Model 175,Tablet,211,108,0.0%,62.9%,8.6%,28.6%,68,9,31
Tablet - Model 176,Tablet,211,14,0.0%,55.0%,24.9%,20.1%,8,3,3
Tablet - Model 177,Tablet,211,21,0.0%,54.7%,7.2%,38.1%,11,2,8
Tablet - Model 178,Tablet,211,5,0.0%,62.3%,26.1%,11.6%,3,1,1
Tablet - Model 179,Tablet,211,12,0.0%,71.8%,9.4%,18.8%,9,1,2
Tablet - Model 180,Tablet,211,36,0.0%,66.9%,10.5%,22.6%,24,4,8
Tablet - Model 181,Tablet,211,46,0.0%,48.7%,26.9%,24.4%,22,12,12
Tablet - Model 182,Tablet,211,14,0.0%,50.0%,11.6%,38.4%,7,2,5
Tablet - Model 183,Tablet,211,3,0.0%,40.0%,26.8%,33.2%,1,1,1
Tablet - Model 184,Tablet,211,24,0.0%,71.7%,20.7%,7.6%,17,5,2
Tablet - Model 185,Tablet,211,13,0.0%,70.0%,8.8%,21.2%,9,1,3
Tablet - Model 186,Tablet,211,12,0.0%,58.3%,13.8%,27.9%,7,2,3
Tablet - Model 187,Tablet,211,157,0.1%,43.8%,17.2%,39.1%,69,27,61
Tablet - Model 188,Tablet,211,47,0.0%,76.8%,6.0%,17.2%,36,3,8
Tablet - Model 189,Tablet,211,40,0.0%,51.7%,10.2%,38.2%,21,4,15
Tablet - Model 190,Tablet,211,26,0.0%,49.5%,27.7%,22.8%,13,7,6
Tablet - Model 191,Tablet,211,27,0.0%,58.7%,16.7%,24.6%,16,4,7
Tablet - Model 192,Tablet,211,38,0.0%,70.4%,8.9%,20.7%,27,3,8
Tablet - Model 193,Tablet,211,58,0.0%,59.5%,15.7%,24.8%,35,9,14
Tablet - Model 194,Tablet,211,59,0.0%,63.9%,30.0%,6.1%,38,18,3
Tablet - Model 195,Tablet,211,9,0.0%,70.8%,14.9%,14.3%,6,1,2
Tablet - Model 196,Tablet,211,34,0.0%,73.1%,9.3%,17.6%,25,3,6
Tablet - Model 197,Tablet,211,26,0.0%,41.2%,10.1%,48.7%,11,3,12
Tablet - Model 198,Tablet,211,100,0.0%,53.6%,17.8%,28.6%,54,18,28
Tablet - Model 199,Tablet,211,49,0.0%,64.6%,27.8%,7.6%,32,14,3
Tablet - Model 200,Tablet,211,37,0.0%,60.4%,17.5%,22.1%,22,6,9
Tablet - Model 201,Tablet,211,6,0.0%,42.0%,5.9%,52.1%,3,0,3
Tablet - Model 202,Tablet,211,46,0.0%,62.0%,16.0%,22.0%,29,7,10
Tablet - Model 203,Tablet,211,6,0.0%,73.6%,9.0%,17.4%,4,1,1
Tablet - Model 204,Tablet,211,20,0.0%,41.0%,16.2%,42.8%,8,3,9
Tablet - Model 205,Tablet,211,8,0.0%,49.5%,6.2%,44.3%,4,0,4
Tablet - Model 206,Tablet,211,58,0.0%,69.0%,7.8%,23.2%,40,5,13
Tablet - Model 207,Tablet,211,11,0.0%,64.3%,12.0%,23.6%,7,1,3
Tablet - Model 208,Tablet,211,24,0.0%,46.9%,14.5%,38.6%,11,3,10
Tablet - Model 209,Tablet,211,111,0.0%,72.1%,14.8%,13.1%,80,16,15
Tablet - Model 210,Tablet,211,11,0.0%,70.0%,8.1%,21.8%,8,1,2
Tablet - Model 211,Tablet,211,35,0.0%,70.9%,10.9%,18.2%,25,4,6
Smartphone - Model 1,Smartphone,215,116,0.0%,49.5%,7.7%,42.8%,57,9,50
Smartphone - Model 2,Smartphone,215,108,0.0%,70.7%,17.5%,11.8%,76,19,13
Smartphone - Model 3,Smartphone,215,157,0.1%,57.4%,11.2%,31.4%,90,18,49
Smartphone - Model 4,Smartphone,215,27,0.0%,61.9%,11.9%,26.2%,17,3,7
Smartphone - Model 5,Smartphone,215,23,0.0%,76.1%,10.4%,13.6%,17,2,4
Smartphone - Model 6,Smartphone,215,83,0.0%,75.4%,19.0%,5.6%,63,16,4
Smartphone - Model 7,Smartphone,215,34,0.0%,73.1%,22.8%,4.0%,25,8,1
Smartphone - Model 8,Smartphone,215,5,0.0%,67.9%,13.1%,19.0%,3,1,1
Smartphone - Model 9,Smartphone,215,20,0.0%,49.4%,10.3%,40.4%,10,2,8
Smartphone - Model 10,Smartphone,215,32,0.0%,74.3%,25.5%,0.2%,24,8,0
Smartphone - Model 11,Smartphone,215,21,0.0%,57.6%,8.3%,34.1%,12,2,7
Smartphone - Model 12,Smartphone,215,24,0.0%,55.3%,20.5%,24.2%,13,5,6
Smartphone - Model 13,Smartphone,215,21,0.0%,58.2%,24.5%,17.3%,12,5,4
Smartphone - Model 14,Smartphone,215,3,0.0%,79.9%,9.8%,10.3%,2,0,1
Smartphone - Model 15,Smartphone,215,61,0.0%,58.4%,15.8%,25.8%,36,10,15
Smartphone - Model 16,Smartphone,215,54,0.0%,52.2%,10.0%,37.9%,28,5,21
Smartphone - Model 17,Smartphone,215,63,0.0%,42.6%,27.2%,30.2%,27,17,19
Smartphone - Model 18,Smartphone,215,13,0.0%,56.8%,17.4%,25.8%,7,2,4
Smartphone - Model 19,Smartphone,215,21,0.0%,76.1%,23.9%,0.0%,16,5,0
Smartphone - Model 20,Smartphone,215,58,0.0%,45.2%,19.1%,35.6%,26,11,21
Smartphone - Model 21,Smartphone,215,55,0.0%,57.7%,24.9%,17.4%,32,14,9
Smartphone - Model 22,Smartphone,215,42,0.0%,69.0%,22.3%,8.8%,29,9,4
Smartphone - Model 23,Smartphone,215,26,0.0%,53.6%,25.1%,21.3%,14,7,5
Smartphone - Model 24,Smartphone,215,146,0.1%,42.1%,9.0%,48.9%,61,13,72
Smartphone - Model 25,Smartphone,215,25,0.0%,53.4%,6.9%,39.7%,13,2,10
Smartphone - Model 26,Smartphone,215,36,0.0%,49.4%,25.8%,24.8%,18,9,9
Smartphone - Model 27,Smartphone,215,68,0.0%,77.9%,12.6%,9.5%,53,9,6
Smartphone - Model 28,Smartphone,215,47,0.0%,50.6%,12.0%,37.4%,24,6,17
Smartphone - Model 29,Smartphone,215,26,0.0%,51.1%,5.9%,43.0%,13,2,11
Smartphone - Model 30,Smartphone,215,34,0.0%,77.1%,10.3%,12.6%,26,4,4
Smartphone - Model 31,Smartphone,215,95,0.0%,56.8%,5.2%,38.0%,54,5,36
Smartphone - Model 32,Smartphone,215,20,0.0%,74.3%,23.3%,2.4%,15,5,0
Smartphone - Model 33,Smartphone,215,9,0.0%,76.7%,23.3%,0.0%,7,2,0
Smartphone - Model 34,Smartphone,215,22,0.0%,52.5%,11.2%,36.3%,12,2,8
Smartphone - Model 35,Smartphone,215,113,0.0%,67.9%,14.1%,18.0%,77,16,20
Smartphone - Model 36,Smartphone,215,6,0.0%,62.6%,5.2%,32.2%,4,0,2
Smartphone - Model 37,Smartphone,215,287,0.1%,42.5%,18.4%,39.1%,122,53,112
Smartphone - Model 38,Smartphone,215,47,0.0%,62.6%,23.8%,13.6%,29,11,7
Smartphone - Model 39,Smartphone,215,251,0.1%,45.3%,17.8%,36.9%,114,45,92
Smartphone - Model 40,Smartphone,215,167,0.1%,47.8%,7.3%,44.9%,80,12,75
Smartphone - Model 41,Smartphone,215,36,0.0%,56.4%,9.1%,34.5%,20,3,13
Smartphone - Model 42,Smartphone,215,13,0.0%,48.9%,12.9%,38.2%,6,2,5
Smartphone - Model 43,Smartphone,215,11,0.0%,50.4%,7.2%,42.4%,6,1,4
Smartphone - Model 44,Smartphone,215,16,0.0%,43.6%,9.8%,46.6%,7,2,7
Smartphone - Model 45,Smartphone,215,74,0.0%,42.0%,20.7%,37.3%,31,15,28
Smartphone - Model 46,Smartphone,215,19,0.0%,51.5%,12.0%,36.5%,10,2,7
Smartphone - Model 47,Smartphone,215,25,0.0%,53.3%,21.6%,25.2%,13,5,7
Smartphone - Model 48,Smartphone,215,36,0.0%,74.8%,24.0%,1.2%,27,9,0
Smartphone - Model 49,Smartphone,215,146,0.1%,69.1%,17.1%,13.8%,101,25,20
Smartphone - Model 50,Smartphone,215,13,0.0%,67.8%,18.8%,13.4%,9,2,2
Smartphone - Model 51,Smartphone,215,0,0.0%,48.7%,10.2%,41.1%,0,0,0
Smartphone - Model 52,Smartphone,215,4,0.0%,51.9%,27.8%,20.4%,2,1,1
Smartphone - Model 53,Smartphone,215,141,0.1%,61.9%,23.3%,14.8%,87,33,21
Smartphone - Model 54,Smartphone,215,62,0.0%,53.9%,15.2%,30.9%,33,9,20
Smartphone - Model 55,Smartphone,215,19,0.0%,45.0%,9.3%,45.7%,9,2,8
Smartphone - Model 56,Smartphone,215,12,0.0%,73.1%,19.6%,7.3%,9,2,1
Smartphone - Model 57,Smartphone,215,21,0.0%,53.5%,25.1%,21.4%,11,5,5
Smartphone - Model 58,Smartphone,215,7,0.0%,49.9%,29.4%,20.7%,3,2,2
Smartphone - Model 59,Smartphone,215,170,0.1%,53.8%,13.4%,32.8%,91,23,56
Smartphone - Model 60,Smartphone,215,92,0.0%,52.5%,8.1%,39.5%,48,7,37
Smartphone - Model 61,Smartphone,215,37,0.0%,44.4%,21.2%,34.4%,16,8,13
Smartphone - Model 62,Smartphone,215,120,0.0%,75.0%,24.8%,0.2%,90,30,0
Smartphone - Model 63,Smartphone,215,17,0.0%,45.6%,18.6%,35.7%,8,3,6
Smartphone - Model 64,Smartphone,215,76,0.0%,44.2%,6.1%,49.6%,34,5,37
Smartphone - Model 65,Smartphone,215,116,0.0%,66.3%,18.4%,15.4%,77,21,18
Smartphone - Model 66,Smartphone,215,26,0.0%,43.3%,5.9%,50.8%,11,2,13
Smartphone - Model 67,Smartphone,215,85,0.0%,79.6%,5.8%,14.7%,68,5,12
Smartphone - Model 68,Smartphone,215,21,0.0%,57.8%,17.6%,24.6%,12,4,5
Smartphone - Model 69,Smartphone,215,21,0.0%,44.7%,9.2%,46.1%,9,2,10
Smartphone - Model 70,Smartphone,215,7,0.0%,54.1%,24.0%,21.9%,4,2,1
Smartphone - Model 71,Smartphone,215,35,0.0%,60.3%,20.9%,18.8%,21,7,7
Smartphone - Model 72,Smartphone,215,78,0.0%,77.6%,22.4%,0.0%,61,17,0
Smartphone - Model 73,Smartphone,215,169,0.1%,57.4%,16.2%,26.5%,97,27,45
Smartphone - Model 74,Smartphone,215,55,0.0%,64.8%,21.6%,13.6%,36,12,7
